台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"7,797","+1,385",38,16,1/144.4,1/205.2,1/487.3
1002,"2,617",-732,7,4,1/237.9,1/373.9,1/654.2
1003,"6,466",-485,23,16,1/165.8,1/281.1,1/404.1
1004,"4,170",-521,15,6,1/198.6,1/278.0,1/695.0
1005,"8,299",+700,35,21,1/148.2,1/237.1,1/395.2
1006,"6,330",+21,22,23,1/140.7,1/287.7,1/275.2
1007,"6,424","+1,512",31,15,1/139.7,1/207.2,1/428.3
1008,"8,199","+3,424",38,40,1/105.1,1/215.8,1/205.0
1009,"8,079",+171,29,29,1/139.3,1/278.6,1/278.6
1010,"6,430",+503,26,19,1/142.9,1/247.3,1/338.4
1011,"6,177","-1,382",19,15,1/181.7,1/325.1,1/411.8
1012,"5,625",-215,22,10,1/175.8,1/255.7,1/562.5
1013,"6,549",+515,27,19,1/142.4,1/242.6,1/344.7
1014,"6,004","-1,594",16,20,1/166.8,1/375.2,1/300.2
1015,"8,431","+2,812",35,38,1/115.5,1/240.9,1/221.9
1016,"4,810",+744,26,9,1/137.4,1/185.0,1/534.4
1017,"6,421",-909,21,19,1/160.5,1/305.8,1/337.9
1018,"2,308","-1,559",4,3,1/329.7,1/577.0,1/769.3
1019,"7,987","+1,500",32,30,1/128.8,1/249.6,1/266.2
1020,"4,139","-1,500",9,14,1/180.0,1/459.9,1/295.6
1021,"6,720","+1,088",30,21,1/131.8,1/224.0,1/320.0
1022,"4,599",+300,19,7,1/176.9,1/242.1,1/657.0
1023,"7,155",-297,27,17,1/162.6,1/265.0,1/420.9
1024,"6,991",-300,24,20,1/158.9,1/291.3,1/349.6
1025,"7,146","+1,547",35,18,1/134.8,1/204.2,1/397.0
1026,"5,831",-397,22,11,1/176.7,1/265.0,1/530.1
1027,"2,413","-1,088",6,5,1/219.4,1/402.2,1/482.6
1028,"8,028",-556,26,27,1/151.5,1/308.8,1/297.3
1029,"7,431","-1,241",26,9,1/212.3,1/285.8,1/825.7
1030,"4,429","-1,112",13,10,1/192.6,1/340.7,1/442.9
1031,"5,859","+1,041",28,14,1/139.5,1/209.2,1/418.5
1032,"6,907",-512,27,16,1/160.6,1/255.8,1/431.7
1033,"7,951","+3,188",37,28,1/122.3,1/214.9,1/284.0
1034,"4,747",+444,18,14,1/148.3,1/263.7,1/339.1
1035,"8,684","+3,282",39,36,1/115.8,1/222.7,1/241.2
1036,"6,141",-232,21,20,1/149.8,1/292.4,1/307.1
1037,"7,512","+1,029",33,21,1/139.1,1/227.6,1/357.7
1038,"5,334",+809,24,11,1/152.4,1/222.2,1/484.9
1039,"5,858",+641,29,11,1/146.4,1/202.0,1/532.5
1040,"5,414",+853,25,14,1/138.8,1/216.6,1/386.7
1041,"7,113",-109,25,18,1/165.4,1/284.5,1/395.2
1042,"3,786","-2,021",8,6,1/270.4,1/473.2,1/631.0
1043,"6,746","+1,782",30,23,1/127.3,1/224.9,1/293.3
1044,"7,245",+959,30,28,1/124.9,1/241.5,1/258.8
1045,"6,306",-944,20,20,1/157.7,1/315.3,1/315.3
1046,"3,771","-1,147",10,6,1/235.7,1/377.1,1/628.5
1047,"8,826","+3,956",44,38,1/107.6,1/200.6,1/232.3
1048,"5,862",+391,23,16,1/150.3,1/254.9,1/366.4
1049,"3,018",-603,10,6,1/188.6,1/301.8,1/503.0
1050,"7,120","-1,300",23,17,1/178.0,1/309.6,1/418.8
1069,"5,130",-238,21,11,1/160.3,1/244.3,1/466.4
1070,"3,877","-1,171",10,9,1/204.1,1/387.7,1/430.8
1071,"3,778","-1,476",11,7,1/209.9,1/343.5,1/539.7
1072,"7,344",-806,22,25,1/156.3,1/333.8,1/293.8
1073,"6,023","-1,194",19,12,1/194.3,1/317.0,1/501.9
1074,"7,207","-1,332",19,27,1/156.7,1/379.3,1/266.9
1075,"2,660",-829,8,4,1/221.7,1/332.5,1/665.0
1076,"7,170",-124,29,18,1/152.6,1/247.2,1/398.3
1077,"7,117",-615,24,23,1/151.4,1/296.5,1/309.4
1078,"8,640","+4,103",41,39,1/108.0,1/210.7,1/221.5
1079,"7,479",+256,25,25,1/149.6,1/299.2,1/299.2
1080,"5,537",+41,22,13,1/158.2,1/251.7,1/425.9
1081,"8,471",+618,33,30,1/134.5,1/256.7,1/282.4
1082,"8,237","+1,544",36,28,1/128.7,1/228.8,1/294.2
1083,"4,228",-715,13,11,1/176.2,1/325.2,1/384.4
1084,"5,499",+44,22,13,1/157.1,1/250.0,1/423.0
1085,"7,410",-38,25,27,1/142.5,1/296.4,1/274.4
1086,"6,108",-356,21,17,1/160.7,1/290.9,1/359.3
1087,"3,095",-982,8,6,1/221.1,1/386.9,1/515.8
1088,"4,286","-1,276",13,10,1/186.3,1/329.7,1/428.6
1089,"7,716","+3,565",44,23,1/115.2,1/175.4,1/335.5
1090,"8,440","+2,144",32,44,1/111.1,1/263.8,1/191.8
1091,"1,653",-865,5,2,1/236.1,1/330.6,1/826.5
1092,"7,327","+2,832",40,18,1/126.3,1/183.2,1/407.1
1093,"8,117",+735,33,27,1/135.3,1/246.0,1/300.6
1094,"8,516",-53,32,29,1/139.6,1/266.1,1/293.7
1095,"6,086","+1,853",31,20,1/119.3,1/196.3,1/304.3
1096,"7,313","-1,041",26,13,1/187.5,1/281.3,1/562.5
1097,"5,703",-144,23,9,1/178.2,1/248.0,1/633.7
1098,"8,496","+2,074",38,25,1/134.9,1/223.6,1/339.8
1099,"3,424","-1,968",7,4,1/311.3,1/489.1,1/856.0
