台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"1,514",-374,4,4,1/189.2,1/378.5,1/378.5
1002,"7,152","+3,353",37,28,1/110.0,1/193.3,1/255.4
1003,"1,533",+62,7,2,1/170.3,1/219.0,1/766.5
1004,367,-74,1,1,1/183.5,1/367.0,1/367.0
1005,"3,194",+362,14,7,1/152.1,1/228.1,1/456.3
1006,"1,548",-826,4,2,1/258.0,1/387.0,1/774.0
1007,"1,298",+409,7,3,1/129.8,1/185.4,1/432.7
1008,"1,160",-479,3,3,1/193.3,1/386.7,1/386.7
1009,"6,448",-250,23,21,1/146.5,1/280.3,1/307.0
1010,884,-374,2,2,1/221.0,1/442.0,1/442.0
1011,"2,075",-350,6,6,1/172.9,1/345.8,1/345.8
1012,"4,161",-959,11,14,1/166.4,1/378.3,1/297.2
1013,"1,991",+762,11,4,1/132.7,1/181.0,1/497.8
1014,498,-268,1,0,1/498.0,1/498.0,1/0.0
1015,"1,506",-391,5,3,1/188.2,1/301.2,1/502.0
1016,864,-185,3,2,1/172.8,1/288.0,1/432.0
1017,"4,586",+468,19,13,1/143.3,1/241.4,1/352.8
1018,450,-138,2,0,1/225.0,1/225.0,1/0.0
1019,"5,839",-597,20,17,1/157.8,1/291.9,1/343.5
1020,575,-615,0,0,1/0.0,1/0.0,1/0.0
1021,"2,047",-771,5,4,1/227.4,1/409.4,1/511.8
1022,512,-285,1,1,1/256.0,1/512.0,1/512.0
1023,"2,294",+115,8,8,1/143.4,1/286.8,1/286.8
1024,"2,805",-879,9,4,1/215.8,1/311.7,1/701.2
1025,870,-479,2,1,1/290.0,1/435.0,1/870.0
1026,"3,439","-1,276",9,6,1/229.3,1/382.1,1/573.2
1027,"4,005",-606,13,12,1/160.2,1/308.1,1/333.8
1028,"3,321",-221,8,18,1/127.7,1/415.1,1/184.5
1029,751,-585,1,1,1/375.5,1/751.0,1/751.0
1030,893,-515,2,1,1/297.7,1/446.5,1/893.0
1031,210,-232,0,0,1/0.0,1/0.0,1/0.0
1032,"8,547","+3,165",41,35,1/112.5,1/208.5,1/244.2
1033,"3,147",-232,13,6,1/165.6,1/242.1,1/524.5
1034,944,-662,1,2,1/314.7,1/944.0,1/472.0
1035,"2,908",+38,12,7,1/153.1,1/242.3,1/415.4
1036,794,+68,4,0,1/198.5,1/198.5,1/0.0
1037,"7,093",+147,25,23,1/147.8,1/283.7,1/308.4
1038,691,+15,3,2,1/138.2,1/230.3,1/345.5
1039,"4,667",+738,20,15,1/133.3,1/233.3,1/311.1
1040,664,-356,2,1,1/221.3,1/332.0,1/664.0
1041,"1,170",-691,3,1,1/292.5,1/390.0,1/1170.0
1042,"1,969",-265,7,3,1/196.9,1/281.3,1/656.3
1043,"5,186",+432,19,25,1/117.9,1/272.9,1/207.4
1044,"6,932","+1,371",28,26,1/128.4,1/247.6,1/266.6
1045,"4,288",-182,11,21,1/134.0,1/389.8,1/204.2
1046,668,-315,2,1,1/222.7,1/334.0,1/668.0
1047,805,-538,1,2,1/268.3,1/805.0,1/402.5
1048,"5,678",+38,21,16,1/153.5,1/270.4,1/354.9
1049,"1,601",-379,5,2,1/228.7,1/320.2,1/800.5
1050,"6,049","+1,571",33,12,1/134.4,1/183.3,1/504.1
1069,"3,515","+1,535",20,7,1/130.2,1/175.8,1/502.1
1070,"1,346",-56,6,0,1/224.3,1/224.3,1/0.0
1071,"5,435",+421,18,23,1/132.6,1/301.9,1/236.3
1072,943,-526,1,3,1/235.8,1/943.0,1/314.3
1073,"1,421",-250,4,3,1/203.0,1/355.2,1/473.7
1074,"4,704",-785,14,14,1/168.0,1/336.0,1/336.0
1075,818,-432,2,2,1/204.5,1/409.0,1/409.0
1076,"4,714",-944,15,11,1/181.3,1/314.3,1/428.5
1077,"1,898",-103,6,7,1/146.0,1/316.3,1/271.1
1078,"7,575",+712,30,21,1/148.5,1/252.5,1/360.7
1079,"8,535","+3,588",40,39,1/108.0,1/213.4,1/218.8
1080,"1,253",-279,5,2,1/179.0,1/250.6,1/626.5
1081,"6,328",-947,21,15,1/175.8,1/301.3,1/421.9
1082,"1,044",-515,2,2,1/261.0,1/522.0,1/522.0
1083,"3,739",+829,18,8,1/143.8,1/207.7,1/467.4
1084,"1,876",-438,7,2,1/208.4,1/268.0,1/938.0
1085,"6,005",-609,20,17,1/162.3,1/300.2,1/353.2
1086,"6,512","+1,453",29,18,1/138.6,1/224.6,1/361.8
1087,290,-309,0,0,1/0.0,1/0.0,1/0.0
1088,"4,605","-2,426",9,9,1/255.8,1/511.7,1/511.7
1089,"6,233",-606,18,21,1/159.8,1/346.3,1/296.8
1090,595,-426,1,1,1/297.5,1/595.0,1/595.0
1091,"4,197",+150,15,15,1/139.9,1/279.8,1/279.8
1092,"6,593",-300,25,14,1/169.1,1/263.7,1/470.9
1093,"6,158",+909,30,8,1/162.1,1/205.3,1/769.8
1094,"1,585",-550,4,4,1/198.1,1/396.2,1/396.2
1095,"3,669",+438,15,10,1/146.8,1/244.6,1/366.9
1096,826,-115,4,1,1/165.2,1/206.5,1/826.0
1097,468,-191,2,0,1/234.0,1/234.0,1/0.0
1098,"7,899","+1,353",32,24,1/141.1,1/246.8,1/329.1
1099,696,-256,2,1,1/232.0,1/348.0,1/696.0
